langcode,type,status,uid,title,created,changed,default_langcode,metatag,path,rh_action,rh_redirect,rh_redirect_response,rh_redirect_fallback_action,publish_on,unpublish_on,menu_link,body,field_faq_category,field_question
"en","faq_question","1","16","What is the lifespan of a furnace?","1568663206","1570479792","1","","en","","","","","","","","The average lifecycle of a furnace is 15 years, but age is not the only factor to consider. Other reasons to replace your furnace include safety, frequency of breakdowns, quality of installation and improper sizing.
","131","What is the lifespan of a furnace?
"
"en","faq_question","1","16","What does a furnace cost?","1568663241","1574097398","1","","en","","","","","","","","The average price range of a typical new natural gas or propane high-efficiency furnace in Ontario ranges from $3,500 to $6,000. This price includes standard installation from a fully-insured, licensed company, at least a one year warranty and all required licenses for installation.

The cost of a new furnace is dependent on four factors:


	Environmental choices, including energy efficiency, humidification, air filtration sizes (which are dependent on allergies or other sensitivities), and comfort-enhancing options.
	Personal choices including extended warranties, maintenance plans&amp;nbsp;and guarantees.
	Technical requirements including the size of the home, floor plan, number of stories, existing ductwork and BTU load.
	Code requirements including safety, licensing and building code requirements.
	To get an accurate, no-surprises, no-obligation quote, contact us at 1-855-619-7701

","131","What does a furnace cost?
"
"en","faq_question","1","16","What happens if Enercare is unable to repair the air conditioner I rent with Enercare Advantage™?","1568663613","1623944625","1","","en","","","","","","","","If your Enercare AdvantageTM equipment is non-operational and we are unable to repair the equipment, you have the option to replace the equipment under a new rental agreement.
","326","What happens if Enercare is unable to repair the air conditioner I rent with Enercare Advantage™?
"
"en","faq_question","1","16","What brands do you repair?","1568663657","1568663689","1","","en","","","","","","","","We repair all makes and models and we back the repair with a 90 day labour coverage &amp; 1 year parts coverage*.

* Warranty coverage applies only to the original problem. If a new problem appears it would not be covered.","136","What brands do you repair?"
"en","faq_question","1","16","What types of equipment do you repair?","1568663735","1568663778","1","","en","","","","","","","","Natural gas and propane furnaces, boilers, central air conditioners, natural gas water heaters, plumbing, all of Enercare’s Rental/Advantage equipment.","136","What types of equipment do you repair?"
"en","faq_question","1","16","What does your repair include?","1568663790","1568663839","1","","en","","","","","","","","Diagnostic and safety check of your equipment

Fixed price quote including all parts and labour required - no hidden charges
Access to our 24/7 Support Centre
Access to over 700 fully-licensed, expert technicians
A call from your technician before arrival so you'll know just when to expect us
All work fully guaranteed - 90 day labour coverage &amp; 1 year parts coverage*
Flexible payment options
A comprehensive HomeCare Report that outlines the health of your heating equipment


* Warranty coverage applies only to the original problem. If a new problem appears it would not be covered.","136","What does your repair include?"
"en","faq_question","1","16","Why didn’t the Enercare technician have the part needed to repair my equipment?","1568663844","1568663873","1","","en","","","","","","","","The number of parts required for every make and model of equipment we cover is lengthy and impossible to carry on our trucks.  We warehouse the parts that we need the most but when we are really busy it’s challenging to keep them in stock.  We work closely with a parts supplier to get the parts needed as quickly as possible. If your equipment is over 15 years old, it can sometimes become harder for us to source the parts to repair your equipment.

To help us, please let our call centre rep know any details you can about your equipment - if it’s not working at all, if it’s making a noise, and what brand, model and year it is if you can.
","136","Why didn’t the Enercare technician have the part needed to repair my equipment?"
"en","faq_question","1","16","Received your part? Here’s what to do/next steps:","1568663879","1568663911","1","","en","","","","","","","","Do not open the package! Call 1-888-266-3939 and provide your Name, Address and Subcase Number. We will book your appointment and our technician will be on the way to install the new part.","136","Received your part? Here’s what to do/next steps:"
"en","faq_question","1","16","I received a package from Enercare. What do I do?","1568663915","1571844954","1","","en","","","","","","","","Please give us a call at 1-888-266-3939. We will book an appointment and one of our technicians will be on the way to install the new part for you.
","136","I received a package from Enercare. What do I do?
"
"en","faq_question","1","16","What is included in my Heating Maintenance Plan?","1568663949","1568664098","1","","en","","","","","","","","With the Enercare Heating Maintenance Plan, you get a comprehensive annual inspection of your furnace, boiler or fireplace by one of our licensed technicians, providing you a HomeCare Report. We will also perform a safety check for carbon monoxide leaks and provide expert assessment and recommendations for your heating equipment, helping to reduce energy costs in the long run.","141","What is included in my Heating Maintenance Plan?"
"en","faq_question","1","16","What is included in my Heating Protection Plan?","1568664104","1574446958","1","","en","","","","","","","","With the Enercare Cooling Protection Plan, you get 365-day parts and labour protection under your plan terms and conditions. You also get unlimited service calls and peace of mind with same day service if your equipment is non-operational (subject to exclusions in accordance with the Plan Terms and Conditions or Rental Agreement).
","141","What is included in my Heating Protection Plan?
"
"en","faq_question","1","16","What is included in my Cooling Maintenance Plan?","1568660533","1623945092","1","","en","","","","","","","","With the Enercare Cooling Maintenance Plan, you get a comprehensive annual inspection of your central air conditioner by our licensed technician, providing you with a HomeCare Report. We will also perform a safety check for carbon monoxide leaks and provide expert assessment and recommendations for your cooling equipment, helping to reduce energy costs in the long run.
","336","What is included in my Cooling Maintenance Plan?
"
"en","faq_question","1","16","What is covered in my Cooling Protection Plan?","1568664171","1574446858","1","","en","","","","","","","","With the Enercare Cooling Protection Plan, you get 365-day parts and labour protection under your plan terms and conditions. You also get unlimited service calls and peace of mind with same day service if your equipment is non-operational (subject to exclusions in accordance to the Plan Terms and Conditions or Rental Agreement).
","141","What is covered in my Cooling Protection Plan?
"
"en","faq_question","1","16","What parts are covered under my Heating Protection Plan?","1568664203","1568664237","1","","en","","","","","","","","Aquastat Controls, Automatic Vent Damper/Motor, Blower/Blower Components, Condensate Pumps, Door Switch, Electric Ignition System, Fan Control, Fan Motor, Flame Spreader, Flow Switch, Fuel or Air Flappers, Furnace Low Voltage Circuit Fuse, Gas Appliance Regulator, Gas Burner and Orifices, Gas Control Valve, Heating Circuit Transformer, Hot Surface Igniter, Ignition Runner Bar, Internal Wiring, Limit Controls, Pilot Burner, Pilot Tubing, Pressure Relief Valve, Primary Circulator/Pump, Pulley and Belt, Relay, Roll Out Switch, Summer/Winter Switch, Thermocouple/Generator, Vent System Pressure Switch Tubing and Ventor or Motor Assembly.","141","What parts are covered under my Heating Protection Plan?"
"en","faq_question","1","16","What parts are covered under my Cooling Protection Plan?","1568664244","1623944875","1","","en","","","","","","","","Add-on Fan Centres, Add-on Indoor Fan Relay, Capacitor, Compressor**, Condensate Pumps, Condenser Coil**, Condenser Fan Motor, Cooling Contactor/Relay and Evaporator Coil, Filter Driers, Service Valves, Fan Blades, Internal Copper Tubing, Internal Electrical Wiring, Low Ambient Temperature Sensor, and Thermostatic Expansion Valves.

** Enercare’s annual total parts and labour responsibility is limited to a maximum retail value of $500 (including HST) per year for&amp;nbsp;compressor unit or condenser coil repairs. Refrigerant recovery, vacuuming, and refill not included. See Terms and Conditions for complete details.
","331","What parts are covered under my Cooling Protection Plan?
"
"en","faq_question","1","16","What do I need to do before moving out?","1568664312","1583254956","1","","en","","","","","","","","Please click on the &quot;Let's get started&quot; button above. If you are an Enercare Advantage or Enercare Smarter Advantage customer, you will need to advise your real estate agent lawyer and include these in the Agreement of Purchase and Sale for your Home. If you have a Protection Plan with us, the plan will move with you, subject to the Plan terms and conditions.
","146","What do I need to do before moving out?
"
"en","faq_question","1","16","What do I need to do before moving in?","1568664388","1568664434","1","","en","","","","","","","","When moving in, give us a call at 1-844-ENERCARE to have your heating and cooling equipment safety inspected to ensure it’s running properly so you can avoid unexpected breakdowns. We can also have your ducts cleaned to remove any existing dirt and debris so your air quality is as healthy as possible - especially important following construction or renovations of your new home. It’s also important to check your water quality to ensure you have healthy drinking water. If you have scale build-up on faucets and appliances, you may have hard water and a water softener can help extend the life of your appliances, ultimately saving you money in the long run.","146","What do I need to do before moving in?"
"en","faq_question","1","16","May I transfer my Protection Plan to my new house?","1568664446","1568664475","1","","en","","","","","","","","Yes you can! If you are currently receiving an Enercare bill, your protection plan will automatically be transferred to your new address when you contact Enbridge and advise them you are moving. If you currently receive an Enercare branded bill, please call us to advise us of the move. We will be happy to assist with the transfer of your plans.","146","May I transfer my Protection Plan to my new house?"
"en","faq_question","1","16","I am moving from my residence how do I close my account?","1568664480","1583254895","1","","en","","","","","","","","In order to close the account, please click on the &quot;Let's get started&quot; button above. Please note that if you currently have rental equipment with us, you will need to disclose the rental on your purchase and sales agreement if you wish to have the agreement transferred to the purchasers of the property.
","146","I am moving from my residence how do I close my account?
"
"en","faq_question","1","16","I took ownership of property but am now being billed for Enercare Rentals which I did not agree too.","1568664769","1568664823","1","","en","","","","","","","","If your purchase and sales agreement did not include the Rental please attach a copy to the link below showing that the rental was not included. Once received and the proof is validated your account will be closed and all charges will be reversed. If the rental is included in your purchase and sales agreement you would be liable for the product. Back-officebillingreports@enercare.ca","146","I took ownership of property but am now being billed for Enercare Rentals which I did not agree too."
"en","faq_question","1","16","How often should I receive my bill?","1568665049","1568665071","1","","en","","","","","","","","You will receive your bill on a monthly basis.
","151","How often should I receive my bill?"
"en","faq_question","1","16","Why am I receiving two bills each month? One bill has my rental product and the other has my protection plans.","1568665081","1568750167","1","","en","","","","","","","","This occurs when a new product is added and not linked to your original account. Give us a call at 1-888-266-3939 to get this corrected.
","151","Why am I receiving two bills each month? One bill has my rental product and the other has my protection plans.
"
"en","faq_question","1","16","I received my January bill, why has the price increased?","1568665112","1568750235","1","","en","","","","","","","","If you have an Enercare Advantage/Rental product the rates can increase as of Jan 1. An insert would have been attached on your December bill outlining which tanks were subject to the rate increase.
","151","I received my January bill, why has the price increased?
"
"en","faq_question","1","16","A credit was supposed to be applied to my account but I haven’t received this yet.","1568665135","1568750258","1","","en","","","","","","","","Credits can take 1-2 billing cycles to be applied to your account. If you have not seen the credit after this time period, please give us a call at 1-888-266-3939.
","151","A credit was supposed to be applied to my account but I haven’t received this yet.
"
"en","faq_question","1","16","How frequently will I receive an invoice?","1568665157","1568665169","1","","en","","","","","","","","Invoices are sent out on a monthly basis for all customer with charges billed monthly.
","151","How frequently will I receive an invoice?"
"en","faq_question","1","16","How do I change the mailing address on my bill?","1568665191","1568750300","1","","en","","","","","","","","Give us a call at 1-888-266-3939.
","151","How do I change the mailing address on my bill?
"
"en","faq_question","1","16","How do I update my account information?","1568665253","1568665524","1","","en","","","","","","","","The following information can be updated by completing the linked form: Back-OfficeBillingReports@enercare.ca


SMA (Mailing Address)
Incorrect spelling of Account Name
Postal Code or Lot Number Updates
Phone Number
Change of Last Name

","151","How do I update my account information?"
"en","faq_question","1","16","I would like a copy of a previous invoice.","1568665530","1568665555","1","","en","","","","","","","","To view previous invoices we ask that you register your account through our e-billing portal. Here you will be able to view, download, print and review your previous invoices. Link to e-bill FAQ’s.
","151","I would like a copy of a previous invoice."
"en","faq_question","1","16","How do I start or cancel my bill because I am moving out?","1568665697","1568665717","1","","en","","","","","","","","Please contact Enercare.","151","How do I start or cancel my bill because I am moving out?"
"en","faq_question","1","16","How do I escalate Enercare concerns on my Enbridge bill?","1568665726","1568665738","1","","en","","","","","","","","Please contact Enercare.","151","How do I escalate Enercare concerns on my Enbridge bill?"
"en","faq_question","1","16","What is a pre-authorized payment?","1568666113","1568750508","1","","en","","","","","","","","Our Pre-Authorized Payment Plan (PAP) is an efficient and accurate way of paying your Enercare bill. It can help you save time and avoid late payment charges. When you sign up for the Plan, we automatically withdraw payments from your bank account before the late payment date.

If you are billed by Enbridge, please connect with them to understand their e-billing options.
","151","What is a pre-authorized payment?
"
"en","faq_question","1","16","I made a payment, why does it not appear on my latest invoice?","1568666194","1568750616","1","","en","","","","","","","","Payments can take 3-4 business days to process. If the payment is posted on the account after your new invoice is generated, the payment will not appear on the latest invoice we send you. However, the next invoice you receive will show the applied payments. To avoid this situation, we ask that you make all payments prior to the bill due date.
","151","I made a payment, why does it not appear on my latest invoice?
"
"en","faq_question","1","16","I have a credit on my account, how can I receive this credit?","1568666220","1568666323","1","","en","","","","","","","","If your bill is showing a credit balance, you may request this amount be refunded to you. The fastest way for us to refund the credit balance to you would be via direct deposit, which you may request by emailing a copy of a void cheque to back-officebillingreports@enercare.ca. In the title/subject of your email, please reference the credit amount and your account number. It normally takes 2-4 weeks for the funds to be deposited into your account.
","151","I have a credit on my account, how can I receive this credit?"
"en","faq_question","1","16","I submitted my pre-authorized payment form, when will my payment be withdrawn?","1568666340","1568666358","1","","en","","","","","","","","This process normally takes 1-2 billing cycles to be completed. When you see the ***Pre-Authorized Payment Notice*** listed on your bill (on the front page of the bill, under the Customer Care Contact Information) the account balance will begin withdrawing from your bank account on a monthly basis.
","151","I submitted my pre-authorized payment form, when will my payment be withdrawn?"
"en","faq_question","1","16","I would like to mail a cheque for charges on my account, how do I do this?","1568666367","1568750743","1","","en","","","","","","","","If you are billed by Enercare and not Enbridge, you may pay your bill by mailing a cheque along with the bill statement stub to the address below. Please include your account number in the memo section of the cheque and allow for postal delivery time when sending your payment.

Enercare Home Service
P.O Box 9925
STN A Toronto, ON M5W 2J2

Enercare is not responsible for payments received late due to postal delays. Please allow 7 business days for your payment to reach our office.
","151","I would like to mail a cheque for charges on my account, how do I do this?
"
"en","faq_question","1","16","I’m unable to make a payment towards my account due to financial hardship. What options do I have?","1568666418","1568666468","1","","en","","","","","","","","We ask that you contact our Payment Arrangement Team, we would be happy to assist you with a payment plan going forward. Payment Arrangement Team: 1-855-367-7177

Mon - Fri - 8:00am - 8:00pm
Sat - 8:30am - 5:00pm
(Closed Sunday and State Holidays)
","151","I’m unable to make a payment towards my account due to financial hardship. What options do I have?"
"en","faq_question","1","16","How do I make an online payment?","1568666486","1568750793","1","","en","","","","","","","","You can make an online payment through your banking institution. If you are billed by Enercare and not Enbridge please ensure the payee is Enercare Home Services and include the 10-digit account number shown at the top of your bill.
","151","How do I make an online payment?
"
"en","faq_question","1","16","I have changed banks, how do I update my pre-authorized payment (PAP) information?","1568666516","1568750836","1","","en","","","","","","","","To avoid any late fees or penalties, make sure to contact us in advance to update this information. If you are billed by Enercare and not Enbridge please complete the pre-authorized payment form with your new banking details and submit to: payment.team@enercare.ca
","151","I have changed banks, how do I update my pre-authorized payment (PAP) information?
"
"en","faq_question","1","16","What is e-billing?","1568666842","1568750862","1","","en","","","","","","","","E-billing is electronic billing where invoices are viewable from an online portal. With this feature, no paper bills will be sent out instead they will be received electronically. This is only available for any customer that is billed directly by Enercare and doesn’t include Enbridge billing.
","156","What is e-billing?
"
"en","faq_question","1","16","Why should I switch to e-billing?","1568666873","1568750882","1","","en","","","","","","","","No, wait times to receive your bill in the mail. Once your bill is ready an email notification will be sent alerting you that your invoice is ready to be viewed. All bills can be viewed for up to 24 months. You can enroll several accounts under one email address.
","156","Why should I switch to e-billing?
"
"en","faq_question","1","16","I already have an account set up for e-billing. How do I add another account to my profile?I already have an account set up for e-billing. How do I add another account to my profile?","1568666901","1568666954","1","","en","","","","","","","","To add a secondary account:


Please log into an account associated with the corresponding email address in order to add the secondary account. At the top of your home screen, beside the logout button, you will see ‘Add Account’.
Please click on this feature and provide the following details for the secondary account (account number, last bill date, and last invoice amount).
Please continue and verify the current information on file to complete the enrollment
You will now be able to access both accounts and view bills; click on the drop-down menu which can be found beside add account to switch between bills.
You will now be able to access both accounts and view bills; click on the drag down which can be found beside add account to switch between bills.
","156","I already have an account set up for e-billing. How do I add another account to my profile?"
"en","faq_question","1","16","When will I know if a new bill is ready to be viewed?","1568666963","1568666979","1","","en","","","","","","","","You will receive an email notification each month when a new bill has been generated and is available for viewing.
","156","When will I know if a new bill is ready to be viewed?"
"en","faq_question","1","16","I forgot the password to my account, how do I have this reset?","1568666991","1571413525","1","","en","","","","","","","","Go to the online portal: www.enercare.ca/ebilling and select the ‘Forgot your Password’ option. An email will be sent out to the email address on file with instructions on how to complete the reset.
","156","I forgot the password to my account, how do I have this reset?
"
"en","faq_question","1","16","I haven’t received an email alert to complete my registration.","1568667026","1568667058","1","","en","","","","","","","","Check your spam/junk folder to see if the email was sent to you. Ensure you add NoReply@enercare.ca to your safe sender's list or your contacts to avoid having email alerts blocked by spam filters.
","156","I haven’t received an email alert to complete my registration."
"en","faq_question","1","16","I’m registered but I did not receive notification that my new bill was ready.","1568667062","1568667120","1","","en","","","","","","","","Check your spam/junk folder to see if the email was sent to you. Ensure you add NoReply@enercare.ca to your safe sender's list or your contacts to avoid having email alerts blocked by spam filters. Please note that you are responsible for paying your bill on time whether you receive an email alert or not. It's good practice to check your bill online monthly by logging into your online account. Your bill will always be available by viewing online according to your regular billing cycle.
","156","I’m registered but I did not receive notification that my new bill was ready."
"en","faq_question","1","16","How do I change my email address?","1568667124","1568667150","1","","en","","","","","","","","Log into online billing, click on the option “Update Your Online Account” proceed to change your email by following the instructions.
","156","How do I change my email address?"
"en","faq_question","1","16","How do I return to paper billing?","1568667156","1568667198","1","","en","","","","","","","","If you would like to close your online account and return to receiving paper bills in the mail, you will need to fill out a cancellation form linked below [insert form link].
","156","How do I return to paper billing?"
"en","faq_question","1","16","Once I enroll for my online account how do I register for e-billing?","1568667206","1568667220","1","","en","","","","","","","","Once you enroll for your online account nothing further needs to be completed to transition your account to paperless billing. The account will show the status of online in 3-5 business days after you sign up for this feature.
","156","Once I enroll for my online account how do I register for e-billing?"
"en","faq_question","1","16","Received your part? Here’s what to do/next steps:","1568667583","1568667600","1","","en","","","","","","","","Do not open the package! Call 1-888-266-3939 and provide your Name, Address and Subcase Number. We will book your appointment and our technician will be on the way to install the new part.
","166","Received your part? Here’s what to do/next steps:"
"en","faq_question","1","16","Do I really need a maintenance plan on my new furnace or AC still under warranty?","1568667653","1568667692","1","","en","","","","","","","","Yes, this is still recommended. Like a new car, your home comfort equipment requires regular maintenance to both extend the life of your equipment and keep the energy efficiency in your home optimal.
","171","Do I really need a maintenance plan on my new furnace or AC still under warranty?"
"en","faq_question","1","16","When should I consider replacing my equipment?","1568667698","1568667771","1","","en","","","","","","","","Refer to DOK articles that provide a rebuttal of age of equipment.
","171","When should I consider replacing my equipment?"
"en","faq_question","1","16","I have an appointment booked today, when will my technician arrive?","1568667777","1568667793","1","","en","","","","","","","","The technician will arrive within the 4-hour window provided at the time of the booking. You can also be notified through our Enercare Mobile App when our technician is on route to your location.
","171","I have an appointment booked today, when will my technician arrive?"
"en","faq_question","1","16","I have a service appointment booked, what do I need to do next?","1568667798","1568667814","1","","en","","","","","","","","Prior to your appointment, please ensure that there is someone over the age of 18 present at home to let the technician in. There must be a clear pathway to your cooling and/or heating equipment and pets/animals must be caged.
","171","I have a service appointment booked, what do I need to do next?"
"en","faq_question","1","16","What is the Enercare Mobile App?","1568667822","1603291773","1","","en","","","","","","","","The Enercare Mobile App allows you to verify, modify and even book new service calls to resolve issues with your home comfort equipment. You can view your current account details, book your next service, maintenance or repair, receive alerts when your technician is on their way and view our most current offers. Our new en route feature provides you with a live map and real-time updates on the technician’s arrival.

The Enercare Mobile App can be downloaded from the Apple or Android App Store.
","171","What is the Enercare Mobile App?
"
"en","faq_question","1","16","What is Enercare Smarter Home?","1568667879","1568667913","1","","en","","","","","","","","Enercare Smarter Home is a simple, integrated system that puts home comfort and peace of mind in the palm of your hand, even when you’re not home. For more information on Enercare Smarter Home and the full suite of Smarter Products, visit [insert link].
","171","What is Enercare Smarter Home?"
"en","faq_question","1","16","How do I contact Enercare Home Service?","1568667922","1568751451","1","","en","","","","","","","","You can reach 24 hours a day at 1-888-266-3939.
","171","How do I contact Enercare Home Service?
"
"en","faq_question","1","16","Is there anything I can check at home prior to calling for service?","1568668016","1568668030","1","","en","","","","","","","","Yes, depending on the issues. If you are experiencing no hot water or heat, this could be related to your outdoor venting. If you are able, check to confirm venting is not blocked with snow, debris or equipment is a good idea. For leaking equipment, checking to confirm the source of the leak will ensure the right repair person is sent to your home. It will make a difference if an HVAC technician or plumber will respond.
","171","Is there anything I can check at home prior to calling for service?"
"en","faq_question","1","16","I would like all my service addresses under one account number.","1568750367","1568750387","1","","en","","","","","","","","Give us a call at 1-888-266-3939.","151","I would like all my service addresses under one account number."
"en","faq_question","1","16","How do I set up Pre-authorized Payments (PAP) on my bill?","1568750426","1568750463","1","","en","","","","","","","","If you are billed by Enercare and not Enbridge, please visit our pre-authorized payment page to choose the payment options that work best for you. https://www.enercare.ca/payments
","151","How do I set up Pre-authorized Payments (PAP) on my bill?"
"en","faq_question","1","16","How do I sign up for Pre-Authorized Payments?","1568750533","1571844987","1","","en","","","","","","","","If you are billed by Enercare and not Enbridge, please visit our pre-authorized payment page to choose the payment options that work best for you and email the form along with a void cheque to payment.team@enercare.ca. If you prefer to mail in this request, please print out the form and mail it to:

Attention: Payments
7400 Birchmount Rd.
Markham Ontario
L3R 5V4, CA
","151","How do I sign up for Pre-Authorized Payments?
"
"en","faq_question","1","16","Does Enercare go door-to-door?","1568751040","1568751057","1","","en","","","","","","","","Enercare, government agencies and other utility companies will never promote door-to-door sale or exchange of water heaters, furnaces, air conditioners or other home services products. If someone comes to your home claiming to represent Enercare, please call us to confirm if someone is scheduled to be at your home.
","181","Does Enercare go door-to-door?"
"en","faq_question","1","16","What is the Enercare Mobile App?","1568751064","1568751110","1","","en","","","","","","","","The Enercare Mobile App allows you to verify, modify and even book new service calls to resolve issues with your home comfort equipment. You can view your current account details, book your next service, maintenance or repair, receive alerts when your technician is on their way and view our most current offers. Our new en route feature provides you with a live map and real-time updates on the technician’s arrival.

The Enercare Mobile App can be downloaded from the Apple or Android App Store.
","181","What is the Enercare Mobile App?"
"en","faq_question","1","16","What is Enercare Smarter Home?","1568751136","1568751153","1","","en","","","","","","","","Enercare Smarter Home is a simple, integrated system that puts home comfort and peace of mind in the palm of your hand, even when you’re not home. For more information on Enercare Smarter Home and the full suite of Smarter Products, visit our Smarter Home Hub.
","181","What is Enercare Smarter Home?"
"en","faq_question","1","16","I recently experienced great service with Enercare and want to share my feedback. How can I do this?","1568751228","1568751277","1","","en","","","","","","","","Your feedback matters! If you’re pleased with the level of service you received from us, we’d appreciate if you would share your experience with other homeowners on our Google page. Simply visit enercare.ca/reviews and enter your postal code. Select the star rating and write about your experience. Click ‘Post’ and voila! Your feedback will be posted on our Google page for other homeowners to read.
","186","I recently experienced great service with Enercare and want to share my feedback. How can I do this?"
"en","faq_question","1","16","How do I contact Enercare Connections/Metered Services?","1568751476","1568751512","1","","en","","","","","","","","Call 1 866-449-4423 - then follow the prompts for metering services.
","171","How do I contact Enercare Connections/Metered Services?"
"en","faq_question","1","16","Where can I find the forms for Rental Water Heaters?","1568751540","1571423178","1","","en","","","","","","","","https://www.enercare.ca/water-heating/other-important-information-about-water-heater-rentals
","171","Where can I find the forms for Rental Water Heaters?
"
"en","faq_question","1","16","Where can I find the Terms and Conditions for Advantage/Rental Water Heaters?","1568751642","1571418576","1","","en","","","","","","","","https://www.enercare.ca/water-heating/water-heater-terms-and-conditions
","171","Where can I find the Terms and Conditions for Advantage/Rental Water Heaters?
"
"en","faq_question","1","16","Where can I find the Enercare Advantage/Rental furnace and/or air conditioner buy-out schedule?","1568751667","1571418169","1","","en","","","","","","","","https://www.enercare.ca/heating/furnace-rental-buyout
","171","Where can I find the Enercare Advantage/Rental furnace and/or air conditioner buy-out schedule?
"
